model,country,total,correct,accuracy
qwen3,afghanistan,41,13,0.317073
qwen3,argentina,33,11,0.333333
qwen3,australia,25,8,0.32
qwen3,austria,33,11,0.333333
qwen3,bangladesh,33,11,0.333333
qwen3,bosnia_and_herzegovina,34,11,0.323529
qwen3,brazil,32,9,0.28125
qwen3,cambodia,36,13,0.361111
qwen3,canada,32,12,0.375
qwen3,chile,35,12,0.342857
qwen3,china,36,11,0.305556
qwen3,colombia,32,9,0.28125
qwen3,croatia,35,12,0.342857
qwen3,cyprus,35,12,0.342857
qwen3,egypt,35,12,0.342857
qwen3,ethiopia,45,14,0.311111
qwen3,fiji,21,9,0.428571
qwen3,france,34,12,0.352941
qwen3,germany,43,14,0.325581
qwen3,greece,34,12,0.352941
qwen3,hong_kong,35,11,0.314286
qwen3,hungary,36,13,0.361111
qwen3,india,29,11,0.37931
qwen3,indonesia,26,9,0.346154
qwen3,iran,44,14,0.318182
qwen3,iraq,34,12,0.352941
qwen3,ireland,41,15,0.365854
qwen3,israel,42,14,0.333333
qwen3,italy,34,11,0.323529
qwen3,japan,35,12,0.342857
qwen3,kenya,33,12,0.363636
qwen3,laos,33,10,0.30303
qwen3,lebanon,26,9,0.346154
qwen3,malaysia,34,12,0.352941
qwen3,malta,36,12,0.333333
qwen3,mauritius,40,11,0.275
qwen3,mexico,34,12,0.352941
qwen3,myanmar,45,15,0.333333
qwen3,nepal,37,13,0.351351
qwen3,netherlands,36,12,0.333333
qwen3,new_zealand,42,14,0.333333
qwen3,north_macedonia,34,12,0.352941
qwen3,pakistan,35,10,0.285714
qwen3,palestinian_territories,34,13,0.382353
qwen3,papua_new_guinea,34,11,0.323529
qwen3,peru,32,9,0.28125
qwen3,philippines,32,12,0.375
qwen3,poland,35,11,0.314286
qwen3,portugal,45,11,0.244444
qwen3,romania,36,12,0.333333
qwen3,russia,35,10,0.285714
qwen3,samoa,36,11,0.305556
qwen3,saudi_arabia,44,15,0.340909
qwen3,serbia,39,12,0.307692
qwen3,singapore,31,12,0.387097
qwen3,somalia,45,15,0.333333
qwen3,south_africa,36,12,0.333333
qwen3,south_korea,27,9,0.333333
qwen3,south_sudan,27,9,0.333333
qwen3,spain,34,12,0.352941
qwen3,sri_lanka,35,12,0.342857
qwen3,sudan,48,16,0.333333
qwen3,sweden,34,11,0.323529
qwen3,syria,18,6,0.333333
qwen3,taiwan,32,11,0.34375
qwen3,thailand,39,11,0.282051
qwen3,timor-leste,36,12,0.333333
qwen3,tonga,35,10,0.285714
qwen3,türkiye,35,12,0.342857
qwen3,ukraine,41,15,0.365854
qwen3,united_kingdom,27,10,0.37037
qwen3,united_states_of_america,42,16,0.380952
qwen3,venezuela,34,11,0.323529
qwen3,vietnam,36,11,0.305556
qwen3,zimbabwe,34,12,0.352941
qwen7,afghanistan,41,27,0.658537
qwen7,argentina,33,26,0.787879
qwen7,australia,25,19,0.76
qwen7,austria,33,24,0.727273
qwen7,bangladesh,33,24,0.727273
qwen7,bosnia_and_herzegovina,34,25,0.735294
qwen7,brazil,32,20,0.625
qwen7,cambodia,36,25,0.694444
qwen7,canada,32,22,0.6875
qwen7,chile,35,21,0.6
qwen7,china,36,23,0.638889
qwen7,colombia,32,21,0.65625
qwen7,croatia,35,23,0.657143
qwen7,cyprus,35,27,0.771429
qwen7,egypt,35,27,0.771429
qwen7,ethiopia,45,29,0.644444
qwen7,fiji,21,18,0.857143
qwen7,france,34,27,0.794118
qwen7,germany,43,29,0.674419
qwen7,greece,34,25,0.735294
qwen7,hong_kong,35,23,0.657143
qwen7,hungary,36,24,0.666667
qwen7,india,29,21,0.724138
qwen7,indonesia,26,18,0.692308
qwen7,iran,44,28,0.636364
qwen7,iraq,34,22,0.647059
qwen7,ireland,41,29,0.707317
qwen7,israel,42,25,0.595238
qwen7,italy,34,25,0.735294
qwen7,japan,35,22,0.628571
qwen7,kenya,33,23,0.69697
qwen7,laos,33,26,0.787879
qwen7,lebanon,26,18,0.692308
qwen7,malaysia,34,22,0.647059
qwen7,malta,36,26,0.722222
qwen7,mauritius,40,21,0.525
qwen7,mexico,34,23,0.676471
qwen7,myanmar,45,31,0.688889
qwen7,nepal,37,28,0.756757
qwen7,netherlands,36,24,0.666667
qwen7,new_zealand,42,28,0.666667
qwen7,north_macedonia,34,25,0.735294
qwen7,pakistan,35,27,0.771429
qwen7,palestinian_territories,34,28,0.823529
qwen7,papua_new_guinea,34,27,0.794118
qwen7,peru,32,22,0.6875
qwen7,philippines,32,26,0.8125
qwen7,poland,35,24,0.685714
qwen7,portugal,45,27,0.6
qwen7,romania,36,24,0.666667
qwen7,russia,35,23,0.657143
qwen7,samoa,36,29,0.805556
qwen7,saudi_arabia,44,34,0.772727
qwen7,serbia,39,27,0.692308
qwen7,singapore,31,23,0.741935
qwen7,somalia,45,33,0.733333
qwen7,south_africa,36,27,0.75
qwen7,south_korea,27,17,0.62963
qwen7,south_sudan,27,18,0.666667
qwen7,spain,34,29,0.852941
qwen7,sri_lanka,35,25,0.714286
qwen7,sudan,48,33,0.6875
qwen7,sweden,34,22,0.647059
qwen7,syria,18,13,0.722222
qwen7,taiwan,32,22,0.6875
qwen7,thailand,39,24,0.615385
qwen7,timor-leste,36,24,0.666667
qwen7,tonga,35,23,0.657143
qwen7,türkiye,35,27,0.771429
qwen7,ukraine,41,30,0.731707
qwen7,united_kingdom,27,18,0.666667
qwen7,united_states_of_america,42,31,0.738095
qwen7,venezuela,34,25,0.735294
qwen7,vietnam,36,25,0.694444
qwen7,zimbabwe,34,27,0.794118
