model,country,total,correct,accuracy
qwen7,afghanistan,41,33,0.804878
qwen7,argentina,33,24,0.727273
qwen7,australia,25,21,0.84
qwen7,austria,33,25,0.757576
qwen7,bangladesh,33,25,0.757576
qwen7,bosnia_and_herzegovina,34,25,0.735294
qwen7,brazil,32,20,0.625
qwen7,cambodia,36,27,0.75
qwen7,canada,32,24,0.75
qwen7,chile,35,26,0.742857
qwen7,china,36,24,0.666667
qwen7,colombia,32,24,0.75
qwen7,croatia,35,26,0.742857
qwen7,cyprus,35,25,0.714286
qwen7,egypt,35,29,0.828571
qwen7,ethiopia,45,30,0.666667
qwen7,fiji,21,18,0.857143
qwen7,france,34,26,0.764706
qwen7,germany,43,33,0.767442
qwen7,greece,34,26,0.764706
qwen7,hong_kong,35,25,0.714286
qwen7,hungary,36,27,0.75
qwen7,india,29,19,0.655172
qwen7,indonesia,26,19,0.730769
qwen7,iran,44,30,0.681818
qwen7,iraq,34,24,0.705882
qwen7,ireland,41,30,0.731707
qwen7,israel,42,27,0.642857
qwen7,italy,34,25,0.735294
qwen7,japan,35,25,0.714286
qwen7,kenya,33,26,0.787879
qwen7,laos,33,26,0.787879
qwen7,lebanon,26,19,0.730769
qwen7,malaysia,34,24,0.705882
qwen7,malta,36,28,0.777778
qwen7,mauritius,40,26,0.65
qwen7,mexico,34,26,0.764706
qwen7,myanmar,45,32,0.711111
qwen7,nepal,37,28,0.756757
qwen7,netherlands,36,25,0.694444
qwen7,new_zealand,42,28,0.666667
qwen7,north_macedonia,34,22,0.647059
qwen7,pakistan,35,26,0.742857
qwen7,palestinian_territories,34,25,0.735294
qwen7,papua_new_guinea,34,26,0.764706
qwen7,peru,32,22,0.6875
qwen7,philippines,32,25,0.78125
qwen7,poland,35,27,0.771429
qwen7,portugal,45,26,0.577778
qwen7,romania,36,23,0.638889
qwen7,russia,35,23,0.657143
qwen7,samoa,36,26,0.722222
qwen7,saudi_arabia,44,32,0.727273
qwen7,serbia,39,28,0.717949
qwen7,singapore,31,25,0.806452
qwen7,somalia,45,36,0.8
qwen7,south_africa,36,28,0.777778
qwen7,south_korea,27,19,0.703704
qwen7,south_sudan,27,22,0.814815
qwen7,spain,34,28,0.823529
qwen7,sri_lanka,35,27,0.771429
qwen7,sudan,48,35,0.729167
qwen7,sweden,34,24,0.705882
qwen7,syria,18,13,0.722222
qwen7,taiwan,32,23,0.71875
qwen7,thailand,39,26,0.666667
qwen7,timor-leste,36,25,0.694444
qwen7,tonga,35,25,0.714286
qwen7,türkiye,35,27,0.771429
qwen7,ukraine,41,34,0.829268
qwen7,united_kingdom,27,19,0.703704
qwen7,united_states_of_america,42,31,0.738095
qwen7,venezuela,34,25,0.735294
qwen7,vietnam,36,27,0.75
qwen7,zimbabwe,34,25,0.735294
qwen15,afghanistan,41,17,0.414634
qwen15,argentina,33,19,0.575758
qwen15,australia,25,11,0.44
qwen15,austria,33,17,0.515152
qwen15,bangladesh,33,15,0.454545
qwen15,bosnia_and_herzegovina,34,12,0.352941
qwen15,brazil,32,8,0.25
qwen15,cambodia,36,16,0.444444
qwen15,canada,32,11,0.34375
qwen15,chile,35,10,0.285714
qwen15,china,36,19,0.527778
qwen15,colombia,32,10,0.3125
qwen15,croatia,35,13,0.371429
qwen15,cyprus,35,18,0.514286
qwen15,egypt,35,19,0.542857
qwen15,ethiopia,45,17,0.377778
qwen15,fiji,21,8,0.380952
qwen15,france,34,15,0.441176
qwen15,germany,43,18,0.418605
qwen15,greece,34,13,0.382353
qwen15,hong_kong,35,14,0.4
qwen15,hungary,36,8,0.222222
qwen15,india,29,11,0.37931
qwen15,indonesia,26,10,0.384615
qwen15,iran,44,18,0.409091
qwen15,iraq,34,14,0.411765
qwen15,ireland,41,18,0.439024
qwen15,israel,42,15,0.357143
qwen15,italy,34,13,0.382353
qwen15,japan,35,19,0.542857
qwen15,kenya,33,16,0.484848
qwen15,laos,33,15,0.454545
qwen15,lebanon,26,15,0.576923
qwen15,malaysia,34,14,0.411765
qwen15,malta,36,15,0.416667
qwen15,mauritius,40,19,0.475
qwen15,mexico,34,20,0.588235
qwen15,myanmar,45,30,0.666667
qwen15,nepal,37,16,0.432432
qwen15,netherlands,36,15,0.416667
qwen15,new_zealand,42,18,0.428571
qwen15,north_macedonia,34,15,0.441176
qwen15,pakistan,35,8,0.228571
qwen15,palestinian_territories,34,17,0.5
qwen15,papua_new_guinea,34,13,0.382353
qwen15,peru,32,15,0.46875
qwen15,philippines,32,16,0.5
qwen15,poland,35,14,0.4
qwen15,portugal,45,24,0.533333
qwen15,romania,36,13,0.361111
qwen15,russia,35,20,0.571429
qwen15,samoa,36,17,0.472222
qwen15,saudi_arabia,44,18,0.409091
qwen15,serbia,39,19,0.487179
qwen15,singapore,31,13,0.419355
qwen15,somalia,45,17,0.377778
qwen15,south_africa,36,18,0.5
qwen15,south_korea,27,17,0.62963
qwen15,south_sudan,27,10,0.37037
qwen15,spain,34,14,0.411765
qwen15,sri_lanka,35,13,0.371429
qwen15,sudan,48,14,0.291667
qwen15,sweden,34,21,0.617647
qwen15,syria,18,2,0.111111
qwen15,taiwan,32,13,0.40625
qwen15,thailand,39,12,0.307692
qwen15,timor-leste,36,17,0.472222
qwen15,tonga,35,15,0.428571
qwen15,türkiye,35,19,0.542857
qwen15,ukraine,41,17,0.414634
qwen15,united_kingdom,27,8,0.296296
qwen15,united_states_of_america,42,19,0.452381
qwen15,venezuela,34,16,0.470588
qwen15,vietnam,36,15,0.416667
qwen15,zimbabwe,34,21,0.617647
