country,total,correct,accuracy
afghanistan,41,17,0.414634
argentina,33,19,0.575758
australia,25,11,0.44
austria,33,17,0.515152
bangladesh,33,15,0.454545
bosnia_and_herzegovina,34,12,0.352941
brazil,32,8,0.25
cambodia,36,16,0.444444
canada,32,11,0.34375
chile,35,10,0.285714
china,36,19,0.527778
colombia,32,10,0.3125
croatia,35,13,0.371429
cyprus,35,18,0.514286
egypt,35,19,0.542857
ethiopia,45,17,0.377778
fiji,21,8,0.380952
france,34,15,0.441176
germany,43,18,0.418605
greece,34,13,0.382353
hong_kong,35,14,0.4
hungary,36,8,0.222222
india,29,11,0.37931
indonesia,26,10,0.384615
iran,44,18,0.409091
iraq,34,14,0.411765
ireland,41,18,0.439024
israel,42,15,0.357143
italy,34,13,0.382353
japan,35,19,0.542857
kenya,33,16,0.484848
laos,33,15,0.454545
lebanon,26,15,0.576923
malaysia,34,14,0.411765
malta,36,15,0.416667
mauritius,40,19,0.475
mexico,34,20,0.588235
myanmar,45,30,0.666667
nepal,37,16,0.432432
netherlands,36,15,0.416667
new_zealand,42,18,0.428571
north_macedonia,34,15,0.441176
pakistan,35,8,0.228571
palestinian_territories,34,17,0.5
papua_new_guinea,34,13,0.382353
peru,32,15,0.46875
philippines,32,16,0.5
poland,35,14,0.4
portugal,45,24,0.533333
romania,36,13,0.361111
russia,35,20,0.571429
samoa,36,17,0.472222
saudi_arabia,44,18,0.409091
serbia,39,19,0.487179
singapore,31,13,0.419355
somalia,45,17,0.377778
south_africa,36,18,0.5
south_korea,27,17,0.62963
south_sudan,27,10,0.37037
spain,34,14,0.411765
sri_lanka,35,13,0.371429
sudan,48,14,0.291667
sweden,34,21,0.617647
syria,18,2,0.111111
taiwan,32,13,0.40625
thailand,39,12,0.307692
timor-leste,36,17,0.472222
tonga,35,15,0.428571
türkiye,35,19,0.542857
ukraine,41,17,0.414634
united_kingdom,27,8,0.296296
united_states_of_america,42,19,0.452381
venezuela,34,16,0.470588
vietnam,36,15,0.416667
zimbabwe,34,21,0.617647
